id,user_IXL SS,user_IXL Science,user_IXL Math,user_IXL Reading,user_AR,subgroup_TCAPMathLevel,subGroup_bottom25,subgroup_ell,user_Reflex M,subgroup_lunchStatus,subgroup_specialEd,subgroup_gender,districtId,studentId,studentLevel,year,measurementTypeId,value_lexileStar,value_starReadingUnified,value_starMathUnified,value_acapMathLevel,value_acapMath,value_acapELALevel,value_acapELA,value_acapLexile,value_starReading,value_starMath,value_AcapMathRc2,value_AcapMathRc3,value_AcapMathRc1,value_AcapElaRc8,value_AcapElaRc7,value_AcapElaRc5,value_AcapElaRc4,value_AcapElaRc3,value_AcapElaRc2,value_AcapElaRc6,value_AcapElaRc1,value_acapScienceLevel,value_acapScience,value_AcapMathRc4,value_edulasticMath,value_edulasticELA,value_edulasticScience,value_StudySyncELA,value_AcapSciRc3,value_AcapSciRc2,value_AcapSciRc1,value_edulasticHistory,value_starEarlyLitUnified,value_actMathScore,value_actReadingScore,value_actEnglishScore,value_actCompositeScore,value_actScienceScore,value_StarEarlyLit,value_AcapMathRc5,value_AcapSciRc4,value_AcapElaRc10,value_AcapElaRc9,value_actStemScore,value_acapReadSubscore,value_edulasticUsHistory,value_edulasticAlgebra,value_edulasticGeometry,value_edulasticBio,value_edulasticWH,value_edulasticPhySci,value_edulasticGeography,value_edulasticEnvironmental,value_edulasticAP,value_edulasticGov,value_edulasticCivics,value_edulasticChem,value_edulasticEco,value_edulasticPreCal
4933570,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480163,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,58.66666666666666,24.0,,,,
4933455,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480164,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,80.0,94.0,,,,
7519607,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480165,12.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,69.33333333333333,82.0,,,,
4933678,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480166,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,80.0,,,,
3268678,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480167,11.0,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,22.0,14.0,16.5,16.5,,,,,,15.0,,,,,,,,,,,,,,,
4933463,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480168,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,94.0,,,,
3268677,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480169,11.0,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,14.0,14.0,13.0,14.5,15.5,,,,,,16.0,,56.25,23.666666666666668,,,,,,71.0,,,,,,
5444081,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480170,12.0,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,84.0,,,,
4933728,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480171,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,82.0,,,,
4933690,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480172,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,76.0,,,,
